Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
108,117.87,150.38,0.24,117.23,159.91,0.22,122.28,155.82,0.29,114.82,155.24,0.09,117.14,154.5,0.06,124.64,164.18,0.08,118.71,144.77,0.17,119.13,155.37
109,117.87,150.41,0.24,117.24,159.91,0.22,122.28,155.84,0.29,114.8,155.22,0.09,117.15,154.47,0.06,124.64,164.16,0.07,118.71,144.76,0.17,119.13,155.39
110,117.85,150.45,0.24,117.24,159.94,0.22,122.25,155.9,0.29,114.82,155.23,0.09,117.18,154.51,0.06,124.62,164.12,0.07,118.69,144.75,0.17,119.11,155.43
111,117.85,150.84,0.24,119.84,165.11,0.23,122.1,156.3,0.29,114.86,155.08,0.09,117.41,154.43,0.06,124.62,164.15,0.07,118.58,144.74,0.18,119.93,157.42
112,117.84,150.82,0.25,119.76,165.08,0.23,122.2,156.16,0.3,114.85,155.16,0.09,117.27,154.48,0.06,124.65,164.21,0.07,118.53,144.76,0.18,119.94,157.35
113,117.86,151.49,0.26,117.48,160.57,0.27,121.81,157.16,0.3,114.96,154.92,0.1,117.96,154.38,0.06,124.27,163.9,0.07,118.24,144.76,0.2,119.05,156.41
114,117.99,171.9,0.28,117.83,161.11,0.32,115.06,163.93,0.32,115.16,154.48,0.12,120.11,159.69,0.07,126.02,160.29,0.07,117.92,144.8,0.24,116.96,165.65
115,117.72,170.1,0.34,118.08,161.66,0.36,114.95,163.71,0.36,123.35,160.98,0.14,125.14,160.13,0.11,125.36,159.85,0.11,117.67,144.9,0.26,116.92,165.16
116,116.78,169.69,0.38,118.12,161.71,0.39,116.04,161.07,0.38,123.73,161.1,0.16,125.09,160.36,0.14,125.63,159.71,0.14,117.64,145.1,0.26,116.98,164.16
117,115.52,169.56,0.41,118.04,162.09,0.4,116.08,160.92,0.4,124.01,161.31,0.2,125.3,160.79,0.17,125.27,159.51,0.18,117.77,145.15,0.24,116.55,164.19
118,114.54,169.65,0.43,117.58,162.53,0.42,117.39,160.79,0.42,123.58,161.59,0.22,125.27,162.96,0.2,124.4,159.53,0.2,118.03,145.02,0.22,116.5,164.32
119,113.24,169.94,0.39,116.43,162.8,0.45,116.74,160.98,0.42,122.41,162.39,0.23,124.48,163.63,0.2,123.35,160.32,0.21,118.02,145.04,0.19,115.47,164.58
120,112.48,170.18,0.38,116.05,163.27,0.46,116.18,161.36,0.42,121.88,162.59,0.24,124.34,164.03,0.21,122.43,160.11,0.22,118.09,145.2,0.17,114.9,164.94
121,112.25,170.48,0.37,116.0,163.55,0.46,115.83,161.6,0.42,121.81,162.49,0.25,124.48,164.06,0.21,122.1,159.88,0.22,118.1,145.27,0.16,114.7,165.21
122,112.27,170.7,0.37,116.06,163.71,0.46,115.7,161.76,0.41,121.82,162.36,0.24,124.61,164.01,0.21,121.9,159.72,0.21,118.11,145.25,0.16,114.68,165.39
123,112.94,170.81,0.39,116.5,163.58,0.46,115.95,161.76,0.43,122.09,162.2,0.25,124.84,163.73,0.22,121.97,159.4,0.22,118.11,145.08,0.19,115.13,165.38
124,113.46,170.79,0.4,116.75,163.37,0.46,116.24,161.68,0.43,122.29,162.1,0.25,124.91,163.55,0.21,122.26,159.32,0.22,118.12,145.05,0.2,115.49,165.28
125,114.38,170.63,0.41,117.02,162.88,0.45,116.75,161.45,0.43,122.34,162.08,0.24,124.79,163.28,0.2,122.63,159.6,0.21,118.01,144.9,0.21,116.05,164.99
126,115.31,170.65,0.4,117.25,162.47,0.44,117.16,161.31,0.42,122.26,162.11,0.22,124.48,161.89,0.19,122.97,160.06,0.19,117.83,144.85,0.22,116.57,164.81
127,116.43,170.6,0.39,117.6,162.14,0.42,115.46,161.8,0.4,122.42,161.26,0.19,124.55,160.76,0.15,123.63,159.53,0.15,117.55,144.84,0.25,116.5,164.85
128,118.3,169.97,0.3,117.35,160.85,0.32,114.65,163.8,0.34,114.54,154.78,0.12,119.55,159.68,0.08,123.8,163.52,0.08,117.72,144.75,0.23,116.77,164.87
129,119.65,169.86,0.26,117.88,160.84,0.27,114.99,164.01,0.31,114.85,153.96,0.1,118.13,153.46,0.05,123.95,163.79,0.08,118.04,144.76,0.19,117.51,164.9
130,119.57,167.61,0.22,118.18,159.94,0.22,121.98,156.62,0.24,114.9,154.12,0.05,118.33,153.21,0.04,124.41,164.14,0.07,118.32,145.2,0.14,119.91,161.39
131,122.19,166.78,0.23,118.83,160.09,0.22,121.19,159.5,0.22,122.76,161.97,0.04,121.64,151.43,0.04,123.83,163.5,0.07,118.35,145.24,0.14,120.74,162.12
132,123.51,167.1,0.21,122.86,162.8,0.23,118.12,164.11,0.27,114.96,154.5,0.05,120.71,155.3,0.07,123.26,163.14,0.05,118.27,145.4,0.21,121.5,164.67
133,124.74,167.34,0.21,121.1,161.92,0.3,118.88,164.42,0.32,121.04,159.49,0.08,121.05,155.56,0.09,123.25,162.81,0.08,118.66,146.09,0.21,121.58,164.56
134,124.51,168.43,0.19,121.53,162.15,0.32,121.78,164.79,0.32,121.11,159.79,0.1,121.26,155.63,0.09,122.78,161.27,0.08,118.92,146.36,0.2,122.61,165.12
